rule,capacity,test_years,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_capture,cost_capture,aos_capture,annual_lift_mean,annual_lift_p05,annual_lift_min,annual_lift_sd
boundary_excess,0.2,31,273838,22992,54779,15928,0.6927627000695894,0.2907683601380091,0.08396205055543789,3.463092649768273,0.49106804183299313,0.9157415364804381,0.8953757923896581,3.456239369146627,2.749842833161855,2.6594973911894857,0.35904860062180854
bayesian_posterior_mean,0.2,31,273838,22992,54779,15889,0.6910664578983995,0.2900564084777013,0.08396205055543789,3.4546132039281825,0.48508931958167006,0.9153145380294386,0.8929047093069089,3.44926614627499,2.7427189442120037,2.6425037976355594,0.36472957747193363
hierarchical_eb_execution,0.2,31,273838,22992,54779,15889,0.6910664578983995,0.2900564084777013,0.08396205055543789,3.4546132039281825,0.48508931958167006,0.9153145380294386,0.8929047093069089,3.44926614627499,2.7427189442120037,2.6425037976355594,0.36472957747193363
membership_probability,0.2,31,273838,22992,54779,15881,0.6907185107863605,0.2899103671114843,0.08396205055543789,3.4528738304225226,0.4829218069830031,0.9161923037673949,0.8877496692871181,3.448117542358414,2.754954595677944,2.6510005944125226,0.3630614055725066
random_forest,0.2,31,273838,22992,54779,15874,0.6904140570633264,0.2897825809160445,0.08396205055543789,3.4513518786050708,0.48082654480429166,0.9083651546522272,0.8685597678689186,3.4491748103394575,2.8140187018451006,2.6594973911894857,0.3705782760856147
direct_full_cell,0.2,31,273838,22992,54779,15551,0.676365692414753,0.28388616075503387,0.08396205055543789,3.3811246733140643,0.47529938767769087,0.9042147881266929,0.8855941114452232,3.3752379351536255,2.6411220802449336,2.557535829865927,0.36908987511651226
species_size_component,0.2,31,273838,22992,54779,14522,0.6316109951287404,0.2651015900253747,0.08396205055543789,3.1573977561485975,0.4259342882430504,0.8138660379119784,0.7770409371737218,3.1539821806834607,2.5639434164676684,2.532130822860105,0.3408135179539083
aos_burden_rule,0.2,31,273838,22992,54779,13820,0.6010786360473208,0.25228646013983463,0.08396205055543789,3.0047677310269676,0.47580514061737983,0.7403581689651929,0.894746405120289,2.991172173318367,2.018204550229268,1.8862888844858332,0.5022500504138951
cost_burden_rule,0.2,31,273838,22992,54779,12662,0.5507132915796799,0.23114697237992662,0.08396205055543789,2.7529934160827394,0.42564528656322814,0.8651850513474463,0.7198913759486274,2.732836125121508,2.019278777769808,1.9689314869603332,0.4404522347865396
component_only,0.2,31,273838,22992,54779,9917,0.43132393876130826,0.18103652859672503,0.08396205055543789,2.1561708819532877,0.3386557809367267,0.8443345105666384,0.5540879468049944,2.1599658933737387,1.8503267253362123,1.5166408574422503,0.1998207141232077
frequency,0.2,31,273838,22992,54779,1473,0.06406576200417537,0.02688986655470162,0.08396205055543789,0.3202621467295747,0.07550168885356646,0.04287424926977519,0.012760537556811585,0.32421010450479665,0.07775817227987265,0.07351334853985285,0.20426035465796866


